"Aach, Hegau";"78267";"gemeinde@aach.de"
"Aachen";"52058";"ordnungsamt@mail.aachen.de"
"Aachen";"52062";"ordnungsamt@mail.aachen.de"
"Aachen";"52064";"ordnungsamt@mail.aachen.de"
"Aachen";"52066";"ordnungsamt@mail.aachen.de"
"Aachen";"52068";"ordnungsamt@mail.aachen.de"
"Aachen";"52070";"ordnungsamt@mail.aachen.de"
"Aachen";"52072";"ordnungsamt@mail.aachen.de"
"Aachen";"52074";"ordnungsamt@mail.aachen.de"
"Aachen";"52076";"ordnungsamt@mail.aachen.de"
"Aachen";"52078";"ordnungsamt@mail.aachen.de"
"Aachen";"52080";"ordnungsamt@mail.aachen.de"
"Aalen, Württ";"73430";"presseamt@aalen.de"
"Aarbergen";"65326";"info@aarbergen.de"
"Abenberg, Mittelfr";"91183";"rwerzinger@wcs-systeme.de"
"Abensberg, Hallertau";"93326";"stadt@abensberg.de"
"Abtsgmünd";"73453";"info@abtsgmuend.de"
"Abtsteinach";"69518";"gemeinde@abtsteinach.de"
"Achern";"77855";"edv@achern.de"
"Achim b Bremen";"28832";"stadt@achim.de"
"Achstetten";"88480";"info@achstetten.de"
"Adelebsen";"37139";"flecken@adelebsen.de"
"Adelmannsfelden";"73486";"gemeinde@adelmannsfelden.de"
"Adelsdorf, Mittelfr";"91325";"gemeinde@adelsdorf.de"
"Adelsheim";"74740";"jochen.berger@adelsheim.de"
"Adenau";"53518";"vgadenau@adenau.de"
"Adendorf";"21365";"adendorf@t-online.de"
"Aerzen";"31855";"rathaus@aerzen.de"
"Affing";"86444";"gemeinde@affing.de"
"Aglasterhausen";"74858";"michael.kraus@Aglasterhausen.de"
"Ahaus";"48683";"info@ahaus.de"
"Ahlen";"59227";"kortem@stadt.ahlen.de"
"Ahlen";"59229";"kortem@stadt.ahlen.de"
"Ahnatal";"34292";"info@ahnatal.de"
"Ahorn, Kr Coburg";"96482";"martin.finzel@gemeinde-ahorn.de"
"Ahorntal";"95491";"poststelle@ahorntal.bayern.de"
"Ahrensbök";"23623";"info@ahrensboek.de"
"Ahrensburg";"22925";"angela.koehnke-treptow@ahrensburg.de"
"Ahrensburg";"22926";"adelheid.jacobsen@ahrensburg.de"
"Aichach";"86551";"bernhard.beidenhauser@aichach.de"
"Aichtal";"72631";"stadt@aichtal.de"
"Aidlingen";"71134";"poststelle@aidlingen.de"
"Ainring";"83404";"gerold.leukert@ainringde"
"Albstadt";"72458";"herbert.deschler@albstadtwerke.de"
"Aldenhoven";"52457";"gemeinde@aldenhoven.de"
"Alfeld (Leine)";"31061";"info@stadt.alfeld.de"
"Alfter";"53347";"rathaus@alfter.de"
"Algermissen";"31191";"gemeinde@algermissen.de"
"Allensbach";"78476";"Monika.Riester@allensbach.de"
"Allersberg";"90584";"liegenschaften@allersberg.de"
"Alpen";"46519";"info@alpen.de"
"Alsdorf";"52477";"stadt.alsdorf@mail.aachen.de"
"Alsfeld";"36304";"info@stadt.alsfeld.de"
"Altdorf bei Nürnberg";"90518";"stadt.altdorf@lau-net.de"
"Altena, Westf";"58762";"post@altena.de"
"Altenbeken";"33184";"info@altenbeken.de"
"Altenholz";"24161";"gemeinde@altenholz.de"
